scenario_id,mode,route_id,rank_static,rank_airpath,rank_shift_airpath_minus_static,material_rank_change
od_26,walking,walking-5,6,6,0,False
od_26,walking,walking-6,8,8,0,False
od_26,walking,walking-7,7,7,0,False
od_26,walking,walking-8,5,5,0,False
od_27,motorbike,motorbike-1,1,1,0,False
od_27,motorbike,motorbike-2,2,2,0,False
od_27,motorbike,motorbike-3,4,4,0,False
od_27,motorbike,motorbike-4,3,3,0,False
od_27,motorbike,motorbike-5,5,5,0,False
od_27,motorbike,motorbike-6,6,6,0,False
od_27,motorbike,motorbike-7,7,7,0,False
od_27,motorbike,motorbike-8,8,8,0,False
od_27,walking,walking-1,2,2,0,False
od_27,walking,walking-2,1,1,0,False
od_27,walking,walking-3,6,6,0,False
od_27,walking,walking-4,5,5,0,False
od_27,walking,walking-5,8,8,0,False
od_27,walking,walking-6,7,7,0,False
od_27,walking,walking-7,3,3,0,False
od_27,walking,walking-8,4,4,0,False
od_28,motorbike,motorbike-1,1,1,0,False
od_28,motorbike,motorbike-2,2,2,0,False
od_28,motorbike,motorbike-3,3,3,0,False
od_28,motorbike,motorbike-4,4,4,0,False
od_28,motorbike,motorbike-5,5,5,0,False
od_28,motorbike,motorbike-6,6,6,0,False
od_28,motorbike,motorbike-7,7,7,0,False
od_28,motorbike,motorbike-8,8,8,0,False
od_28,walking,walking-1,1,1,0,False
od_28,walking,walking-2,3,3,0,False
od_28,walking,walking-3,4,4,0,False
od_28,walking,walking-4,5,5,0,False
od_28,walking,walking-5,7,7,0,False
od_28,walking,walking-6,8,8,0,False
od_28,walking,walking-7,6,6,0,False
od_28,walking,walking-8,2,2,0,False
od_29,motorbike,motorbike-1,1,1,0,False
od_29,motorbike,motorbike-2,2,2,0,False
od_29,motorbike,motorbike-3,3,3,0,False
od_29,motorbike,motorbike-4,4,4,0,False
od_29,motorbike,motorbike-5,5,5,0,False
od_29,motorbike,motorbike-6,7,7,0,False
od_29,motorbike,motorbike-7,6,6,0,False
od_29,motorbike,motorbike-8,8,8,0,False
od_29,walking,walking-1,2,1,-1,True
od_29,walking,walking-2,5,5,0,False
od_29,walking,walking-3,6,6,0,False
od_29,walking,walking-4,7,7,0,False
od_29,walking,walking-5,8,8,0,False
od_29,walking,walking-6,4,3,-1,True
od_29,walking,walking-7,1,2,1,True
od_29,walking,walking-8,3,4,1,True
